id,value
id_0,6.675990980112426
id_1,18.07167493225351
id_2,24.038225880811613
id_3,7.772257990398265
id_4,27.02666876933243
id_5,22.285593028075084
id_6,23.89889844954017
id_7,30.419205101639704
id_8,16.86218519402349
id_9,59.6070626547926
id_10,11.721145798998087
id_11,9.268966163376211
id_12,63.27717290776698
id_13,53.28392517194696
id_14,22.196853423304326
id_15,12.170905086948892
id_16,32.541408284225334
id_17,66.68114491778046
id_18,-0.4288923754744935
id_19,17.081744200799687
id_20,41.7823247405713
id_21,72.12298475750185
id_22,9.288776353342515
id_23,17.798397558856916
id_24,14.717265726180061
id_25,37.71078647347015
id_26,14.568564764635118
id_27,69.34780229867516
id_28,7.269607376635077
id_29,55.42394068387626
id_30,24.464710738827385
id_31,8.490068429392876
id_32,2.4858938984902252
id_33,18.619693900032075
id_34,27.691273398187775
id_35,37.17228305069152
id_36,43.23163096413014
id_37,29.72257652789275
id_38,42.20513414713091
id_39,35.276896710578704
id_40,7.529038448091173
id_41,41.197505826465175
id_42,30.61195072801797
id_43,50.996054324713405
id_44,17.44619913084199
id_45,35.47033188911321
id_46,24.558823259352046
id_47,9.647463773831822
id_48,26.858749250809925
id_49,32.30739730741674
id_50,20.207634375708366
id_51,7.94127100306553
id_52,20.664554610051045
id_53,52.69741229764857
id_54,15.837234674098307
id_55,36.493102058495516
id_56,32.84657700143867
id_57,20.76064342127147
id_58,57.376018314382854
id_59,22.775212743545943
id_60,14.374928929455063
id_61,41.9821144879367
id_62,12.643293573849542
id_63,48.44128603970208
id_64,14.29737311443811
id_65,15.198204494865474
id_66,14.42699851724749
id_67,-0.9687989392466814
id_68,43.74999818975258
id_69,29.070078945471042
id_70,20.11956285306206
id_71,41.73421439947324
id_72,60.80197892932577
id_73,5.434855387807278
id_74,16.50443532512977
id_75,3.431771980438552
id_76,40.3519741400174
id_77,13.969001792580219
id_78,21.545292877819875
id_79,21.06772030045305
id_80,24.013458632096786
id_81,35.98750243526749
id_82,21.777359007694038
id_83,92.46248040626944
id_84,37.194798506785084
id_85,27.92493554358099
id_86,21.88266491838909
id_87,33.65184145576269
id_88,23.310296325641804
id_89,19.817301613199344
id_90,28.99058358194105
id_91,41.5239902778518
id_92,4.688961198893149
id_93,38.8632448715843
id_94,45.97987341772339
id_95,16.42513192543499
id_96,31.625928128633394
id_97,12.972412192307777
id_98,23.400939245274863
id_99,4.618884390268236
id_100,18.251619877339053
id_101,26.384949769785578
id_102,14.097297145963864
id_103,15.823784915170618
id_104,23.91525389092727
id_105,39.68916896139935
id_106,31.420622440037455
id_107,6.439159733025355
id_108,6.021110373706236
id_109,78.55940765643635
id_110,47.967020085356815
id_111,16.99457706767133
id_112,27.68576006569445
id_113,15.327011008843302
id_114,13.730792031904404
id_115,24.948007372058147
id_116,26.49640386909674
id_117,10.628483913726699
id_118,18.259082185930644
id_119,19.468046411896694
id_120,80.74227553764433
id_121,25.634747286546308
id_122,37.12347181345241
id_123,25.21346995023521
id_124,7.386137559727582
id_125,38.63270627171894
id_126,9.159363242397523
id_127,21.939107868608364
id_128,29.104736028718353
id_129,62.82227718172671
id_130,21.8623394567357
id_131,23.190866138878057
id_132,59.290940706597716
id_133,15.230423653691568
id_134,14.203591508495274
id_135,2.7899656307732865
id_136,12.487508082471724
id_137,58.729604444498875
id_138,20.332270090399156
id_139,5.429029766686801
id_140,28.937119375140686
id_141,25.39703355498001
id_142,45.195258049648295
id_143,30.596728625239802
id_144,18.341247822077513
id_145,26.057634273476214
id_146,11.960252942213657
id_147,51.86591635762689
id_148,23.597644547482055
id_149,38.28943993453247
id_150,10.19827650401836
id_151,8.20730264156503
id_152,23.49380064019817
id_153,6.352634098134864
id_154,14.995011987019959
id_155,41.10250636575151
id_156,7.915236380314514
id_157,36.2751786649453
id_158,10.964539776682003
id_159,18.750342020820533
id_160,41.458356021632845
id_161,19.304422547952917
id_162,13.240868259257926
id_163,7.8685457390147135
id_164,52.63710418131654
id_165,31.210274908401928
id_166,-0.3187681123464634
id_167,16.352832212505923
id_168,63.58111752799614
id_169,14.256117202215908
id_170,63.72129953031235
id_171,39.14503265390576
id_172,26.968831550445202
id_173,20.344105087645662
id_174,61.00534716752538
id_175,25.07041577105698
id_176,20.997035892477914
id_177,37.55257029595638
id_178,12.48892041953991
id_179,31.1646499355454
id_180,16.71525760258724
id_181,11.769337686704201
id_182,55.813324058643275
id_183,46.44603641872938
id_184,15.516041906827041
id_185,35.16013344941231
id_186,26.190474213597696
id_187,69.32526290194848
id_188,9.9350606856496
id_189,57.93655988020942
id_190,38.25896262411303
id_191,15.336431076619949
id_192,29.200068841390443
id_193,0.2576018138435804
id_194,19.147116872424725
id_195,0.8858055043261326
id_196,33.73119564026584
id_197,10.469324335111546
id_198,18.7495803299573
id_199,60.2357621655529
id_200,24.978163517631273
id_201,25.76870359929495
id_202,64.62819040396384
id_203,10.63203563858655
id_204,9.159288449332973
id_205,11.277993175359802
id_206,7.289005553845887
id_207,1.6674265546059408
id_208,123.96577901919494
id_209,20.587974460058355
id_210,16.126410529062078
id_211,13.848856628963105
id_212,36.324303125349466
id_213,36.041428834097125
id_214,18.92255426605168
id_215,34.80426678116014
id_216,78.5392104129327
id_217,0.4271481854662892
id_218,12.886919524592985
id_219,31.84995576128897
id_220,14.983146070882928
id_221,12.711781218882653
id_222,113.35497874374553
id_223,12.99006422673237
id_224,16.311202349853147
id_225,64.01868725674346
id_226,15.992456042878635
id_227,19.73980985595353
id_228,10.20833135415966
id_229,3.8490806684794023
id_230,46.206528091512254
id_231,12.742365495647352
id_232,54.007447645792865
id_233,42.516829081129686
id_234,25.129866655650687
id_235,41.00125627945215
id_236,68.97457513307161
id_237,42.15599767834719
id_238,11.035609529260613
id_239,18.15523350854088
